key.id,value.name,value.course_id,value.integration_id,value.created_at,value.updated_at,value.workflow_state,value.sis_batch_id,value.start_at,value.end_at,value.sis_source_id,value.default_section,value.accepting_enrollments,value.restrict_enrollments_to_section_dates,value.nonxlist_course_id,value.enrollment_term_id,meta.ts
7220,OBLIGACIONES - 002,4025,,2021-07-22T22:02:59.442Z,2023-01-03T17:06:37.389Z,active,8810,2021-08-01T05:00:00.000Z,2022-01-11T06:00:00.000Z,202103-DER-13403-002-T,,,true,,,2023-03-24T13:09:48.294Z
6942,ADMON. ESTRATEGICA DE COSTOS - 002,3886,,2021-07-22T22:02:52.515Z,2023-01-03T17:06:37.389Z,active,8810,2021-08-01T05:00:00.000Z,2022-01-11T06:00:00.000Z,202103-CON-12003-002-T,,,true,,,2023-03-24T13:09:48.294Z
15195,ECONOMIA III - 002,7944,,2022-10-01T10:31:13.292Z,2022-10-01T10:31:13.292Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
13737,ALGORITMOS NUMERICOS POR COMPUTADORA - 001,6721,,2022-07-15T22:04:06.537Z,2022-07-15T22:04:06.537Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
17634,/8811,8880,,2023-01-11T19:32:43.416Z,2023-01-11T19:32:46.519Z,deleted,,,,,,,,,,2023-03-24T13:09:48.294Z
17021,PROBLEMAS DE LA REALIDAD MEXICANA CONTEMPORANEA - 003,8619,,2022-12-15T23:05:41.113Z,2022-12-15T23:05:41.113Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
11298,PROBLEMAS DE LA CIVILIZACION CONTEMPORANEA II - 010,5607,,2022-01-08T11:32:06.060Z,2022-01-08T11:32:06.060Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
317,"DERECHO CONSTITUCIONAL, II - 002",198,,2020-07-30T19:03:03.365Z,2021-12-31T23:02:22.589Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-DER-15505-002-T,,,true,,,2023-03-24T13:09:48.294Z
1901,"ECONOMIA, I - 011",490,,2020-07-30T19:07:54.279Z,2020-07-30T19:07:54.279Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
17175,COMUNICACION ESCRITA PARA MATEMATICAS APLICADAS - 002,8798,,2022-12-15T23:05:45.525Z,2022-12-15T23:05:45.525Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
10316,CIENCIAS DE LOS MATERIALES - 002,5778,,2022-01-08T11:31:32.459Z,2023-06-10T23:03:29.697Z,deleted,10539,2022-01-01T06:00:00.000Z,2022-06-22T05:00:00.000Z,202201-IIO-15140-002-T,,,true,,,2023-06-10T23:40:36.517Z
9200,Programa del curso,4599,,2021-08-03T23:53:28.939Z,2021-08-04T17:31:07.322Z,deleted,,,,,,,,,,2023-03-24T13:09:48.294Z
10767,METODOS DE PRONOSTICO - 002,5197,,2022-01-08T11:31:43.592Z,2022-01-08T11:31:43.592Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
2586,ANALISIS MATEMATICO I - 001,894,,2020-07-30T19:10:45.697Z,2020-07-30T19:10:45.697Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
10811,CONTABILIDAD ADMINISTRATIVA II - 003,5228,,2022-01-08T11:31:45.728Z,2022-01-08T11:31:45.728Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
4863,DERECHO CONSTITUCIONAL II - 002,2216,,2020-12-27T21:03:15.103Z,2020-12-27T21:03:15.103Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3972,"PROB. DE LA CIV. CONTEMP., I - 002",2562,,2020-12-27T21:02:42.503Z,2022-05-31T22:06:49.044Z,deleted,6510,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-EGN-17141-002-T,,,true,,,2023-03-24T13:09:48.294Z
8427,PROBLEMAS DE LA CIVILIZACION CONTEMPORANEA I - 008,4342,,2021-07-22T22:03:55.115Z,2021-07-22T22:03:55.115Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
16608,DERECHO INTERNACIONAL PUBLICO I - 001,8337,,2022-12-15T23:05:29.887Z,2022-12-15T23:05:29.887Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
8265,FAMILIA Y SUCESIONES - 001,4076,,2021-07-22T22:03:48.023Z,2021-07-22T22:03:48.023Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
5754,COMUNICACION ESCRITA PARA DIRECCION FINANCIERA - 002,3063,,2021-01-04T00:12:27.569Z,2021-01-04T00:12:27.569Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
12431,INNOVAC. Y DESARR. DE NEGOCIOS - 001,6547,,2022-06-22T22:02:18.818Z,2022-06-22T22:02:18.818Z,active,12464,2022-07-08T05:00:00.000Z,2022-09-21T05:00:00.000Z,202161-ADM-31634-001-T,,,true,,,2023-11-27T00:40:42.846Z
17337,PROPEDEUTICO DE MATEMATICAS. UNIDAD II - 005,8930,,2022-12-15T23:05:50.021Z,2022-12-15T23:05:50.021Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
11496,COMUNICACION ESCRITA PARA INGENIERIA EN COMPUTACION - 001,5950,,2022-01-08T11:32:14.455Z,2022-01-08T11:32:14.455Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
6645,CONTROL DE GESTION Y COSTOS - 001,3553,,2021-06-18T21:01:43.124Z,2021-06-18T21:01:43.124Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
